User Input,Service Category,hindi_input,hindi_output
I need help with a divorce settlement.,Advocate,मुझे तलाक के निपटान में मदद चाहिए।,वकील
Resolve a dispute between two businesses.,Arbitrator,दो व्यवसायों के बीच विवाद को हल करें।,पंच
Mediate a family conflict.,Mediator,एक पारिवारिक संघर्ष की मध्यस्थता करें।,मध्यस्थ
Notarize my rental agreement.,Notary,मेरे किराये के समझौते को नोटरी करें।,नोटरी
Draft a legal contract for my business.,Document Writer,मेरे व्यवसाय के लिए एक कानूनी अनुबंध का मसौदा तैयार करें।,दस्तावेज़ लेखक
I have a personal injury case.,Advocate,मेरे पास एक व्यक्तिगत चोट का मामला है।,वकील
Help with a real estate transaction.,Notary,एक रियल एस्टेट लेनदेन के साथ मदद करें।,नोटरी
Mediation for workplace conflict.,Mediator,कार्यस्थल संघर्ष के लिए मध्यस्थता।,मध्यस्थ
Prepare a will for my estate.,Document Writer,मेरी संपत्ति के लिए एक वसीयत तैयार करें।,दस्तावेज़ लेखक
Need a lawyer for a criminal case.,Advocate,एक आपराधिक मामले के लिए एक वकील की जरूरत है।,वकील
I need a document writer.,Document Writer,मुझे एक दस्तावेज़ लेखक की आवश्यकता है।,दस्तावेज़ लेखक
Document writer for affidavit,Document Writer,हलफनामे के लिए दस्तावेज़ लेखक,दस्तावेज़ लेखक
I need a Advocate,Advocate,मुझे एक वकील चाहिए,वकील
Need a will,Document Writer,वसीयत की जरूरत है,दस्तावेज़ लेखक
Verify,Notary,सत्यापित करें,नोटरी
Verification,Notary,सत्यापन,नोटरी
Authentication of documents,Notary,दस्तावेज़ों का प्रमाणीकरण,नोटरी
Stamp paper,Notary,स्टैम्प पेपर,नोटरी
I am currently involved in a legal dispute and need representation in court.,Advocate,मैं वर्तमान में एक कानूनी विवाद में शामिल हूं और अदालत में प्रतिनिधित्व की आवश्यकता है।,वकील
I want to facilitate negotiation and reach an agreement with another party.,Mediator,मैं बातचीत की सुविधा प्रदान करना चाहता हूं और किसी अन्य पार्टी के साथ एक समझौते पर पहुंचना चाहता हूं।,मध्यस्थ
I need a legally binding resolution for my dispute.,Arbitrator,मुझे अपने विवाद के लिए कानूनी रूप से बाध्यकारी संकल्प की आवश्यकता है।,पंच
"I require assistance with document preparation or review, such as contracts or wills.",Document Writer,"मुझे दस्तावेज़ की तैयारी या समीक्षा के साथ सहायता की आवश्यकता है, जैसे कि अनुबंध या वसीयत।",दस्तावेज़ लेखक
I need notarization services for my legal documents.,Notary,मुझे अपने कानूनी दस्तावेजों के लिए नोटराइजेशन सेवाओं की आवश्यकता है।,नोटरी
"I am not involved in a legal dispute or court case, but I need help with document drafting or review.",Document Writer,"मैं एक कानूनी विवाद या अदालत के मामले में शामिल नहीं हूं, लेकिन मुझे दस्तावेज़ ड्राफ्टिंग या समीक्षा के साथ मदद की ज़रूरत है।",दस्तावेज़ लेखक
My legal matter involves complex legal procedures or court appearances.,Advocate,मेरे कानूनी मामले में जटिल कानूनी प्रक्रियाएं या अदालत की उपस्थिति शामिल है।,वकील
My primary focus is on negotiation and finding common ground between parties.,Mediator,मेरा प्राथमिक ध्यान बातचीत पर है और पार्टियों के बीच आम आधार खोज रहा है।,मध्यस्थ
I need to authenticate and witness signatures on legal documents.,Notary,मुझे कानूनी दस्तावेजों पर हस्ताक्षर और गवाह हस्ताक्षर करने की आवश्यकता है।,नोटरी
I'm involved in a divorce and need assistance with child custody negotiations.,Mediator,मैं तलाक में शामिल हूं और बाल हिरासत वार्ता के साथ सहायता की आवश्यकता है।,मध्यस्थ
